#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.699017,0.063009,9.894700,0.000000,0.000000,17.657213
8.218290,0.047173,14.781500,10.112973,10.112973,66.484250
8.345001,0.088756,8.819535,0.000000,0.000000,17.253624
8.416770,0.080477,14.423327,5.568146,5.568146,123.414687
7.884041,0.067367,0.001257,0.000000,0.000000,7.952967
8.362894,0.042098,12.682814,0.000000,0.000000,21.088320
9.114328,0.064954,15.582096,2.875719,2.875719,48.283229
8.458238,0.064550,16.338662,3.168421,3.168421,47.540888
10.604260,0.063580,15.900513,0.000000,0.000000,26.568630
8.774967,0.060867,13.761786,2.929448,2.929448,64.559084
8.762390,0.040712,8.706734,0.000000,0.000000,17.510285
9.300157,0.018794,14.049304,3.343968,3.343968,46.964809
9.324113,0.028225,15.605951,3.487558,3.487558,47.972342
9.907985,0.022975,15.247682,3.468274,3.468274,48.409351
9.790072,0.023846,7.631589,0.000000,0.000000,17.445860
9.919112,0.017048,15.233749,4.787425,4.787425,52.028218
9.865860,0.021819,14.931532,3.441704,3.441704,49.508986
10.272297,0.020113,13.562368,6.438737,6.438737,53.008126
9.358914,0.013062,13.397647,6.135022,6.135022,69.454440
9.963237,0.018836,6.355187,0.000000,0.000000,16.337701
10.172928,0.010239,11.549184,4.698213,4.698213,64.433814
9.698141,0.011801,6.244347,0.000000,0.000000,15.954739
8.144916,0.012766,11.335011,8.663791,8.663791,60.245006
8.510546,0.017131,12.677805,0.000000,0.000000,21.209984
8.765052,0.018828,14.274106,2.924872,2.924872,56.519634
7.275594,0.031235,15.528807,0.000000,0.000000,22.836057
8.843216,0.051452,14.288873,2.903739,2.903739,54.295586
7.512097,0.059816,16.503008,0.000000,0.000000,24.075354
7.891150,0.055795,14.776168,3.469799,3.469799,61.416965
6.478203,0.060427,13.522180,0.000000,0.000000,20.061126
7.517070,0.050452,15.278428,4.629065,4.629065,54.876239
6.794003,0.069989,15.383135,2.359679,2.359679,35.481027
7.729306,0.083803,17.515520,2.372074,2.372074,39.636922
8.437706,0.101200,16.689558,3.221367,3.221367,40.427945
7.930317,0.087566,15.678724,4.128132,4.128132,49.738799
7.948123,0.083286,35.925852,0.000000,0.000000,43.957572
9.768360,0.059491,21.343370,0.000000,0.000000,31.171531
10.242650,0.096034,20.468732,7.842612,7.842612,53.136527
9.362515,0.094787,12.249352,3.363359,3.363359,40.382003
9.945383,0.092205,19.299487,0.000000,0.000000,29.337439
10.092920,0.089252,17.729909,5.800403,5.800403,52.009146
9.665120,0.070967,15.476051,0.000000,0.000000,25.212362
11.151867,0.069385,19.835440,4.926234,4.926234,56.547266
13.338042,0.070053,22.904363,0.000000,0.000000,36.312905
12.041947,0.082796,20.466446,7.255488,7.255488,60.658922
13.738833,0.093855,0.000919,0.000000,0.000000,13.833788
13.247666,0.052026,22.118557,7.896525,7.896525,66.540912
13.852006,0.073256,1.072721,0.000000,0.000000,14.998180
13.422120,0.053561,19.925799,5.116641,5.116641,62.725385
15.408434,0.083505,0.001101,0.000000,0.000000,15.493384
14.327404,0.050507,21.159394,5.566615,5.566615,65.899055
15.489365,0.062847,1.068018,0.000000,0.000000,16.620414
15.195020,0.056450,22.600085,6.260430,6.260430,71.617158
16.502206,0.081019,0.001038,0.000000,0.000000,16.584447
17.515846,0.062013,25.200548,0.000000,0.000000,42.778751
15.110331,0.059945,37.081440,0.000000,0.000000,52.252296
17.036896,0.075669,11.798001,0.000000,0.000000,28.910874
16.288014,0.075365,25.232588,0.000000,0.000000,41.596455
18.613073,0.102412,27.763524,0.000000,0.000000,46.479561
17.880906,0.083839,15.140580,0.000000,0.000000,33.105709
17.928304,0.083249,29.766927,0.000000,0.000000,47.778870
18.411519,0.083878,15.348869,0.000000,0.000000,33.844651
19.276813,0.089348,29.719545,0.000000,0.000000,49.086143
19.153137,0.100383,14.564452,0.000000,0.000000,33.818538
21.285275,0.092728,14.444434,0.000000,0.000000,35.822949
20.393571,0.093150,31.382520,0.000000,0.000000,51.870012
20.441688,0.095275,11.852469,0.000000,0.000000,32.389750
22.410016,0.067949,29.972136,0.000000,0.000000,52.450822
21.332274,0.063863,12.293296,0.000000,0.000000,33.690151
21.886638,0.045673,11.557766,0.000000,0.000000,33.490663
23.331806,0.042058,31.005591,0.000000,0.000000,54.379965
23.689113,0.047560,10.180352,0.000000,0.000000,33.917396
23.659696,0.037397,8.899356,0.000000,0.000000,32.596943
21.577950,0.035751,27.402047,0.000000,0.000000,49.016168
22.326055,0.035179,28.743013,29.017745,29.017745,134.012491
25.037907,0.031496,0.001184,0.000000,0.000000,25.070833
21.662072,0.037855,8.272036,0.000000,0.000000,29.972222
22.909242,0.046444,25.219812,20.806866,20.806866,123.809615
24.514815,0.032541,0.001107,0.000000,0.000000,24.548860
25.073363,0.029620,0.001579,0.000000,0.000000,25.104932
25.406453,0.043074,0.001812,0.000000,0.000000,25.451902
24.386968,0.038848,12.778019,0.000000,0.000000,37.204508
25.845072,0.033969,11.352168,0.000000,0.000000,37.231661
25.203364,0.019823,12.557920,0.000000,0.000000,37.781428
25.429099,0.032169,12.200144,0.000000,0.000000,37.661778
26.219500,0.029167,12.973870,0.000000,0.000000,39.222940
26.649641,0.030315,36.203452,0.000000,0.000000,62.884001
33.754577,0.048701,0.001162,0.000000,0.000000,33.804649
28.305374,0.037355,0.001173,0.000000,0.000000,28.344087
27.107531,0.031655,16.115635,0.000000,0.000000,43.255370
29.565650,0.035724,18.156428,0.000000,0.000000,47.758124
30.123581,0.033193,18.212803,0.000000,0.000000,48.369819
29.932811,0.040361,0.001302,0.000000,0.000000,29.974674
29.895424,0.042890,19.131072,0.000000,0.000000,49.069956
31.023963,0.049647,0.001178,0.000000,0.000000,31.075051
34.091774,0.042400,2.042808,0.000000,0.000000,36.177208
31.441900,0.031978,17.557519,0.000000,0.000000,49.031801
