#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,74,-1,0,51
0.000000,74,0,-1,48
0.000000,74,0,-1,50
0.000000,74,-1728084512,0,69
0.000000,74,32593,-1,65
0.000000,74,-1728084512,0,59
0.000000,75,32593,0,58
0.000000,75,0,-1734831872,64
0.000000,75,0,32593,60
0.000000,75,-1,-1734831872,61
0.000000,75,-1,32593,64
0.000000,76,0,0,67
0.000000,76,-1,0,63
0.000000,76,0,-1,62
0.000000,77,0,-1,60
0.000000,77,-1728084464,0,59
0.000000,77,32593,-1,53
0.000000,77,-1728084464,0,41
0.000000,77,32593,0,39
0.000000,77,0,-1734831824,39
0.000000,78,0,32593,43
0.000000,78,1021049532,-1734831824,45
0.000000,79,-1104898218,32593,41
0.000000,79,1065127325,0,44
0.000000,79,-1,0,43
0.000000,79,1124024320,1054916882,59
0.000000,79,2,1048140509,72
0.000000,79,1,1063080026,75
0.000000,80,32,-1,80
0.000000,80,-1728084096,1124024320,80
0.000000,80,32593,2,83
0.000000,81,-1728084096,1,84
0.000000,81,32593,32,118
0.000000,81,-1728084064,-1734831296,124
0.000000,81,32593,32593,149
0.000000,81,-1728084064,-1734831296,-1522168992
0.000000,81,32593,32593,21949
0.000000,82,0,-1734831264,-1511414176
0.000000,82,0,32593,21949
0.000000,82,-1731692528,-1734831264,-1551834624
0.000000,83,32593,32593,21949
0.000000,83,-1728084400,0,-1511396640
0.000000,83,32593,0,21949
0.000000,84,-1728084328,-1730640240,-1510443776
0.000000,85,32593,32593,21949
0.000000,85,32,-1734831760,-1519073344
0.000000,85,0,32593,21949
0.000000,86,1,-1734831688,-1519375360
0.000000,86,0,32593,21949
0.000000,89,-1493222816,32,-1508651200
0.000000,90,21949,0,21949
0.000000,91,-1,1,-1509610144
0.000000,91,-1,0,21949
0.000000,91,1,-1536587392,641
0.000000,91,1,21949,0
0.000000,91,-255,-1,-1684844352
0.000000,92,-1,-1,32593
0.000000,94,-1534217568,1,-1710764480
0.000000,94,21949,1,32593
0.000000,95,-1,-255,42
0.000000,95,-1,-1,46
0.000000,96,1081725276,-1561770496,47
0.000000,97,1096796448,21949,48
0.000000,99,-1845247136,-1,50
0.000000,99,21949,-1,50
0.000000,100,0,1075805001,50
0.000000,100,0,1091493093,51
0.000000,101,0,-1845247136,53
0.000000,101,0,21949,53
0.000000,102,0,0,54
0.000000,102,0,0,54
0.000000,104,0,0,54
0.000000,108,0,0,55
0.000000,109,0,0,55
0.000000,111,0,0,58
0.000000,117,0,0,60
0.000000,120,0,0,60
0.000000,127,0,0,60
0.000000,135,0,0,60
0.000000,640,0,0,61
0.000000,0,0,0,61
0.000000,724,0,0,62
0.000000,0,0,0,63
0.000000,-1744829280,0,0,63
0.000000,32593,0,0,63
0.000000,-1732836656,0,0,63
0.000000,32593,0,0,64
0.000000,0,0,0,64
0.000000,0,0,0,64
0.000000,-1709860864,0,0,64
0.000000,32593,0,0,64
0.000000,31439,0,0,66
0.000000,0,0,0,66
0.000000,176,0,0,66
161.781112,0,0,0,66
0.000000,238,-1,0,67
0.000000,0,-1,0,67
0.000000,19,-1,0,67
0.000000,1140081951,-1,0,68
0.000000,1129360420,-1,-1,68
0.000000,1082242040,-1,359,68
0.000000,-1504154336,53,69,69
0.000000,1139742192,0,0,69
0.000000,-1555472096,-1369378825,0,69
0.000000,1,-304172545,32593,69
0.000000,6,-539408289,-1721042128,70
0.000000,21949,-2076252049,32593,70
0.000000,1065329967,-409482241,-1735164608,70
0.000000,21949,-11785218,32593,70
0.000000,264,-74492742,-1724266960,70
0.000000,0,1606049663,32593,70
0.000000,251,-1,257466,70
0.000000,0,-1,21949,70
0.000000,182,725,699020719,70
0.000000,0,0,1062100499,71
0.000000,191,-1744828688,64,71
0.000000,0,32593,0,71
0.000000,0,-1728084048,69,71
0.000000,0,32593,0,71
0.000000,0,21662,1,71
0.000000,0,0,32593,72
0.000000,0,101,-1740025872,72
0.000000,0,0,32593,72
0.000000,-1501389152,163,-1743979344,72
0.000000,21949,0,32593,72
0.000000,-1502780192,2,-1738043952,72
0.000000,21949,1126302464,32593,73
0.000000,0,1113318284,107791,73
0.000000,0,1088202644,21949,73
0.000000,-1503078240,-1,-2054713002,73
0.000000,21949,1125883506,1061390092,73
0.000000,-1533265696,-1,64,73
0.000000,21949,-65535,0,74
0.000000,-1533041184,2,53,74
0.000000,21949,-1,0,74
0.000000,-1533592032,1065349980,0,74
0.000000,21949,-1,32593,74
0.000000,-1496234144,164,-1740162752,74
0.000000,21949,0,32593,75
0.000000,-1495433792,0,0,75
0.000000,21949,0,0,75
0.000000,-1496780512,0,0,75
0.000000,21949,0,0,75
0.000000,-1476415328,0,-1727452192,76
0.000000,21949,0,32593,76
0.000000,0,0,53,76
0.000000,1068227129,0,0,77
0.000000,-1077672575,0,-852426741,77
0.000000,1080784772,0,1358503527,77
0.000000,-1496664128,0,1180067901,77
0.000000,21949,0,-468316452,77
0.000000,0,-1,-1942790730,77
0.000000,21949,-1,-869150587,78
0.000000,0,-1,-2113258745,78
0.000000,0,-1,-148829154,79
0.000000,-1709860592,0,-1,79
0.000000,32593,0,-1,79
0.000000,-1709860592,-1,69,79
0.000000,32593,-1,0,79
0.000000,0,-1,0,79
0.000000,0,-1,32593,80
0.000000,-1499534016,-1,-1686622672,80
0.000000,21949,-1,32593,80
0.000000,0,-1,-1743299664,81
0.000000,21949,-1,32593,81
0.000000,0,-1,-1727897104,81
0.000000,0,-1,32593,81
0.000000,-1709860544,-1,892049,81
0.000000,32593,-1,21949,81
0.000000,-1709860544,-1,670968524,82
0.000000,32593,-1,1061979640,82
0.000000,0,-1,64,82
0.000000,0,-1,0,83
0.000000,-1481650720,0,725,83
0.000000,21949,-1072549127,0,83
0.000000,0,-1066763262,-1744830336,84
0.000000,21949,1085735619,32593,85
0.000000,0,-1,-1734831184,85
0.000000,0,331,32593,85
0.000000,-1709860496,0,8205,86
0.000000,32593,-1,0,86
0.000000,-1709860496,0,23,89
0.000000,32593,0,0,90
0.000000,0,-1728083792,41,91
0.000000,0,32593,0,91
0.000000,1051292574,-1728083792,2,91
0.000000,-1092409592,32593,1141346310,91
0.000000,1062543170,0,1129113441,91
0.000000,21949,0,1077146398,92
0.000000,1124024320,-1,-1,94
0.000000,2,-1,1141093322,94
0.000000,1,0,-1,95
0.000000,32,-1,-65535,95
0.000000,-1688946816,0,7,96
0.000000,32593,0,-1,97
0.000000,-1688946816,-1728083744,1065257770,99
0.000000,32593,32593,-1,99
0.000000,-1688946784,-1728083744,196,100
0.000000,32593,32593,0,100
0.000000,-1688946784,0,160,101
0.000000,32593,0,0,101
0.000000,0,-1,133,102
0.000000,0,-1,0,102
0.000000,-1468532368,0,133,104
0.000000,21949,-1,0,108
