#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,11,24,0,5510
0.000000,11,25,0,4364
0.000000,14,40,0,8461
0.000000,14,42,0,8612
0.000000,12,34,0,7246
0.000000,14,34,0,8178
0.000000,14,34,0,7835
0.000000,15,34,0,8258
1.861973,14,30,0,7822
1.986927,14,31,0,7688
2.491845,8,31,0,5439
0.000000,5,27,0,3901
0.000000,5,25,0,3840
2.452675,6,25,0,4363
0.000000,6,23,0,4347
0.000000,7,23,0,5007
0.000000,8,23,0,5596
0.000000,8,16,0,5418
0.000000,9,16,0,6161
0.000000,10,16,0,6620
0.000000,11,16,0,7271
0.000000,12,16,0,7782
0.000000,14,16,0,8388
0.000000,14,10,0,8347
0.000000,15,10,0,8909
3.086314,15,5,0,9055
0.000000,16,7,0,8531
3.025057,13,11,0,7743
3.921855,15,11,0,8796
1.912414,14,12,0,7714
2.935145,13,14,0,7269
1.731790,13,15,0,7350
0.360514,13,16,0,7288
0.362844,11,19,0,6325
0.413780,8,23,0,5031
0.464665,7,26,0,4292
0.495542,9,25,0,6359
0.000000,10,25,0,6099
0.707495,11,25,0,6876
0.934035,12,25,0,7664
1.034050,12,16,0,8095
0.947547,13,16,0,8692
0.000000,14,16,0,9113
0.000000,11,20,0,8886
1.010266,6,18,0,7453
0.000000,6,19,0,7697
1.056376,5,18,0,4471
1.130375,6,18,0,5007
1.382659,7,18,0,5412
1.256099,8,18,0,5609
1.441874,9,18,0,5815
0.000000,9,19,0,5518
0.000000,10,19,0,5998
1.585953,11,19,0,6460
0.000000,12,19,0,6912
1.458793,13,19,0,7583
1.427220,15,19,0,8606
0.000000,16,19,0,8738
0.000000,17,17,0,7516
1.892055,21,17,0,9567
0.000000,22,17,0,10118
2.123801,22,15,0,10166
0.000000,24,17,0,11103
2.253982,21,7,0,8820
1.969755,22,7,0,9428
1.591131,21,12,0,10980
2.223120,21,13,0,11334
0.000000,21,15,0,11715
0.000000,21,16,0,11971
0.000000,24,14,0,12866
0.000000,24,15,0,13154
0.000000,24,16,0,13539
0.000000,24,17,0,13760
0.000000,13,29,0,10067
0.000000,5,37,0,5925
0.000000,5,38,0,5506
0.000000,4,16,0,2977
0.000000,5,16,0,3647
0.000000,6,16,0,4184
0.000000,7,16,0,4679
0.000000,8,16,0,5252
0.000000,8,14,0,4983
2.865068,9,14,0,5305
3.829987,10,14,0,5876
3.158760,14,14,0,7532
2.585118,14,7,0,6811
1.688420,14,8,0,6682
3.090679,11,15,0,6699
3.150433,15,22,0,8193
2.886504,15,28,0,8619
0.000000,11,33,0,6723
1.712147,12,32,0,5265
0.000000,11,34,0,5583
0.000000,16,35,0,7985
0.000000,17,35,0,8477
0.000000,18,34,0,7505
2.610822,15,38,0,7220
1.611224,14,40,0,7112
1.944277,11,44,0,6465
1.638470,4,40,0,3754
0.000000,3,32,0,2658
1.397435,4,32,0,3091
0.000000,4,10,0,2790
1.423132,31,27,0,15036
4.202838,33,27,0,16213
4.725810,34,17,0,16919
1.033814,34,11,0,17974
0.581982,35,11,0,18487
1.077356,35,19,0,18483
0.488804,34,22,0,19028
0.463101,25,31,0,18005
0.546399,24,23,0,16142
0.675971,22,27,0,15038
