#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,2.823646,2.451824,0.000000,2.289290,3.593242,0.058961,11.698021
0.000000,0.000000,1.621977,4.323186,0.000000,1.823707,3.632238,0.474759,13.056389
0.000000,0.000000,1.498742,4.898147,0.000000,2.518165,4.089249,0.065188,13.505996
0.000000,0.000000,2.631215,2.596400,0.000000,1.645136,3.991668,0.064266,13.188975
0.000000,0.000000,3.667567,3.249611,0.000000,1.514923,3.611559,0.464469,13.926585
0.000000,0.000000,2.529045,2.512140,0.000000,2.763507,4.516904,0.075625,11.946566
0.000000,0.000000,3.255608,3.022418,0.000000,1.589089,4.413237,0.456856,15.143781
0.000000,0.000000,1.554274,2.772630,0.000000,2.408629,4.495752,0.065825,11.997812
0.000000,0.000000,1.790202,2.363143,0.000000,1.811131,4.496060,0.412670,12.428720
0.000000,0.000000,1.896456,2.435489,0.000000,2.505399,4.421151,0.069575,12.288337
0.000000,0.000000,2.718034,2.454742,0.000000,1.467221,4.280718,0.395136,13.510779
0.000000,0.000000,1.874520,2.481793,0.000000,2.745554,4.965909,0.064254,11.713288
0.000000,0.000000,3.210966,2.509657,0.000000,2.046401,5.299693,0.440803,14.878213
0.000000,0.000000,1.662801,2.512213,0.000000,2.931898,5.493617,0.069301,13.293408
0.000000,0.000000,1.702530,2.550101,0.000000,2.306347,4.872696,0.072349,14.175050
0.000000,0.000000,1.655830,2.492247,0.000000,2.230651,4.289919,0.073881,12.630612
0.000000,0.000000,1.581262,2.850103,0.000000,1.890392,4.637920,0.665568,12.468373
0.000000,0.000000,1.848456,2.682559,0.000000,3.879629,6.395190,0.074167,13.224236
0.000000,0.000000,2.366897,2.631883,0.000000,2.405596,5.893872,0.075643,17.092596
0.000000,0.000000,1.773250,3.347397,0.000000,2.552852,5.288261,0.086787,14.924616
0.000000,0.000000,1.535868,2.562144,0.000000,2.400036,4.958330,0.093873,13.504355
