#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.684728,0.305179,17.125938,1.293815,1.293815,69.431219
6.032435,0.327725,16.845807,1.049729,1.049729,65.927777
6.701595,0.356478,17.273577,1.545368,1.545368,75.233905
7.473458,0.464150,20.268181,1.596843,1.596843,56.795948
7.345253,0.555971,18.011888,1.854810,1.854810,35.951744
6.913879,0.492692,19.054126,1.671314,1.671314,35.145101
8.118520,0.373785,21.737279,1.100336,1.100336,51.783920
8.156993,0.393349,24.017491,1.290360,1.290360,55.228965
7.073705,0.373338,17.983314,0.000000,0.000000,25.430718
5.289091,0.401893,16.087816,1.284408,1.284408,37.462152
5.040698,0.191668,16.607579,0.885780,0.885780,30.106929
5.447116,0.143005,16.340060,1.456955,1.456955,30.065154
6.468742,0.191587,17.641769,1.089028,1.089028,73.631604
6.637958,0.236422,19.949342,1.539431,1.539431,81.384148
8.007165,0.289615,20.427177,1.485544,1.485544,92.379801
8.810934,0.533566,27.406628,1.046922,1.046922,82.774286
7.913014,0.439364,21.009012,1.735239,1.735239,68.948086
7.462405,0.432339,19.693204,1.528450,1.528450,75.144097
6.646843,0.415012,17.444698,1.049724,1.049724,69.116917
5.696132,0.403834,16.818076,1.103287,1.103287,49.533494
6.572445,0.334485,3.780652,0.000000,0.000000,10.687888
5.896504,0.263265,9.401767,0.000000,0.000000,15.561761
5.729145,0.254570,8.594816,0.000000,0.000000,14.578930
5.050364,0.199212,13.416433,0.000000,0.000000,18.667313
4.950818,0.160105,14.411610,0.000000,0.000000,19.522883
5.544178,0.140942,4.277346,0.000000,0.000000,9.962690
5.326213,0.123862,11.465238,0.000000,0.000000,16.915882
5.598300,0.138123,10.853092,0.000000,0.000000,16.589791
5.210843,0.114291,12.928907,1.205610,1.205610,39.703630
5.388591,0.115986,14.488363,1.070787,1.070787,49.705719
5.670966,0.134444,15.582175,1.807625,1.807625,85.710866
5.863524,0.170317,14.758167,1.269422,1.269422,83.155267
6.075032,0.212105,19.870640,2.046199,2.046199,86.073569
6.639974,0.277486,14.820106,1.767285,1.767285,72.985227
4.305005,0.241355,6.633977,0.866721,0.866721,47.126012
4.841291,0.279936,5.800803,0.924518,0.924518,29.887565
5.267655,0.189410,6.063178,0.876938,0.876938,30.166845
6.109850,0.201443,9.850125,0.576895,0.576895,29.818492
6.731423,0.210339,9.500566,0.797500,0.797500,31.739768
6.616576,0.250393,9.903785,0.549758,0.549758,36.213067
7.077258,0.258718,13.015948,0.605502,0.605502,43.817694
7.344288,0.306105,15.079104,0.779150,0.779150,50.019390
6.446792,0.284769,15.067045,0.978569,0.978569,38.105630
7.672466,0.348295,16.156151,1.217577,1.217577,50.757929
6.185044,0.303493,15.905620,1.183791,1.183791,50.317787
5.617097,0.314367,14.138480,0.971297,0.971297,31.772879
5.889755,0.272596,14.956202,1.010307,1.010307,27.421975
5.881540,0.233179,14.953383,1.019583,1.019583,32.170459
5.751157,0.222046,16.158354,0.940635,0.940635,32.883312
6.013293,0.217495,16.888379,0.565698,0.565698,47.224271
6.446121,0.268358,17.435772,0.899449,0.899449,50.778073
7.333031,0.313407,19.767105,0.989770,0.989770,56.543075
7.561023,0.388441,20.475800,0.952261,0.952261,35.938191
8.450971,0.376769,21.196964,0.000000,0.000000,30.024912
8.028984,0.370132,22.978144,1.383388,1.383388,40.510287
10.308767,0.351930,26.021653,0.000000,0.000000,36.682952
8.154568,0.362530,2.761272,0.000000,0.000000,11.278607
8.561219,0.396450,5.296480,0.000000,0.000000,14.255059
8.431826,0.424263,27.685668,1.561271,1.561271,67.043976
10.177383,0.359243,29.484125,1.541290,1.541290,75.069709
9.569780,0.381301,30.424650,1.571190,1.571190,52.549784
10.094775,0.394985,19.439629,0.000000,0.000000,29.930630
8.602430,0.464802,28.396132,0.000000,0.000000,37.463564
8.502048,0.377486,30.172834,0.000000,0.000000,39.052684
8.329918,0.352070,27.104173,0.000000,0.000000,35.786388
8.916491,0.326912,24.818582,0.000000,0.000000,34.062263
8.520963,0.311715,30.027175,1.859052,1.859052,53.711408
9.102138,0.300040,15.519537,0.000000,0.000000,24.921954
